price_per_sqm,down_payment_pct,subcity,district,sqm,lon,lat,amenities_within_0.5km,amenities_within_1.0km,amenities_within_2.0km,amenities_within_3.0km,amenities_within_4.0km,amenities_within_5.0km,roads_within_0.5km,roads_within_1.0km,roads_within_2.0km,roads_within_3.0km,roads_within_4.0km,roads_within_5.0km,dist_to_meskel_km,dist_to_bole_km,neighborhood_cluster,amenity_diversity_2km
67568.0,100.0,Bole,12.0,444.0,38.80686784038126,8.956717827291401,0,1,23,51,222,556,24.0,122.0,568.0,1274.0,3146.0,5690.0,9.161099178853291,2.7826260888801313,5,6
181102.36,50.0,Lideta,4.0,127.0,38.73408832926543,9.016605708939036,28,70,354,710,1128,1443,202.0,697.0,2266.0,4654.0,8197.0,13163.0,2.0424529651821546,8.20505349040465,14,38
170500.0,52.0,Lideta,4.0,127.0,38.73408832926543,9.016605708939036,28,70,354,710,1128,1443,202.0,697.0,2266.0,4654.0,8197.0,13163.0,2.0424529651821546,8.20505349040465,14,38
103333.33,100.0,Lideta,4.0,127.0,38.73408832926543,9.016605708939036,28,70,354,710,1128,1443,202.0,697.0,2266.0,4654.0,8197.0,13163.0,2.0424529651821546,8.20505349040465,14,38
46000.0,100.0,Lideta,6.0,297.0,38.74385423627661,9.022709987875915,16,140,491,903,1248,1715,175.0,720.0,2316.0,4625.0,8259.0,12804.0,1.0265619200616296,7.681488766775965,2,48
51750.0,55.0,Lideta,6.0,297.0,38.74385423627661,9.022709987875915,16,140,491,903,1248,1715,175.0,720.0,2316.0,4625.0,8259.0,12804.0,1.0265619200616296,7.681488766775965,2,48
32000.0,100.0,Lideta,6.0,297.0,38.74385423627661,9.022709987875915,16,140,491,903,1248,1715,175.0,720.0,2316.0,4625.0,8259.0,12804.0,1.0265619200616296,7.681488766775965,2,48
70000.0,100.0,Lideta,10.0,199.0,38.73793230379948,9.0045317577699,8,117,360,658,1143,1571,128.0,481.0,2125.0,4507.0,8073.0,12578.0,2.2846922955148905,7.24621906365503,14,44
101998.99,40.0,Lideta,10.0,199.0,38.73793230379948,9.0045317577699,8,117,360,658,1143,1571,128.0,481.0,2125.0,4507.0,8073.0,12578.0,2.2846922955148905,7.24621906365503,14,44
33500.0,100.0,Lideta,10.0,199.0,38.73793230379948,9.0045317577699,8,117,360,658,1143,1571,128.0,481.0,2125.0,4507.0,8073.0,12578.0,2.2846922955148905,7.24621906365503,14,44
45600.0,75.0,Akaki Kality,4.0,406.0,38.76162967755072,8.878099647196903,4,13,33,69,82,100,53.0,207.0,678.0,1438.0,2262.0,3466.0,15.721658669483254,12.12544200092115,7,15
35800.0,100.0,Akaki Kality,4.0,406.0,38.76162967755072,8.878099647196903,4,13,33,69,82,100,53.0,207.0,678.0,1438.0,2262.0,3466.0,15.721658669483254,12.12544200092115,7,15
11200.0,100.0,Akaki Kality,4.0,406.0,38.76162967755072,8.878099647196903,4,13,33,69,82,100,53.0,207.0,678.0,1438.0,2262.0,3466.0,15.721658669483254,12.12544200092115,7,15
40100.0,40.0,Akaki Kality,4.0,523.0,38.76162967755072,8.878099647196903,4,13,33,69,82,100,53.0,207.0,678.0,1438.0,2262.0,3466.0,15.721658669483254,12.12544200092115,7,15
18150.0,100.0,Akaki Kality,4.0,523.0,38.76162967755072,8.878099647196903,4,13,33,69,82,100,53.0,207.0,678.0,1438.0,2262.0,3466.0,15.721658669483254,12.12544200092115,7,15
16561.0,60.0,Akaki Kality,4.0,523.0,38.76162967755072,8.878099647196903,4,13,33,69,82,100,53.0,207.0,678.0,1438.0,2262.0,3466.0,15.721658669483254,12.12544200092115,7,15
49500.0,100.0,Akaki Kality,1.0,194.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
46392.0,100.0,Akaki Kality,1.0,194.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
75000.0,41.0,Akaki Kality,1.0,194.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
42151.0,100.0,Akaki Kality,1.0,233.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
20150.0,100.0,Akaki Kality,1.0,233.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
20850.0,81.0,Akaki Kality,1.0,233.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
51777.0,41.0,Akaki Kality,1.0,231.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
39000.0,75.0,Akaki Kality,1.0,231.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
29000.0,100.0,Akaki Kality,1.0,231.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
28570.0,100.0,Akaki Kality,1.0,229.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
32164.0,51.0,Akaki Kality,1.0,229.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
26900.0,60.0,Akaki Kality,1.0,229.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
37001.0,100.0,Akaki Kality,1.0,282.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
51100.0,40.0,Akaki Kality,1.0,282.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
29000.0,100.0,Akaki Kality,1.0,282.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
50550.0,70.0,Akaki Kality,1.0,282.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
34230.0,100.0,Akaki Kality,1.0,282.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
44680.85,65.08,Akaki Kality,1.0,282.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
61490.0,60.0,Akaki Kality,1.0,235.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
40500.0,100.0,Akaki Kality,1.0,235.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
36421.2,100.0,Akaki Kality,1.0,235.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
38500.0,75.0,Akaki Kality,1.0,235.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
21800.0,100.0,Akaki Kality,1.0,235.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
25744.4,83.0,Akaki Kality,1.0,235.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
45700.0,40.0,Akaki Kality,1.0,235.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
27005.0,100.0,Akaki Kality,1.0,235.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
22100.0,100.0,Akaki Kality,1.0,235.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
51000.0,50.0,Akaki Kality,1.0,244.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
23800.0,100.0,Akaki Kality,1.0,244.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
23000.0,100.0,Akaki Kality,1.0,244.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
61990.0,40.0,Akaki Kality,1.0,245.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
32333.0,100.0,Akaki Kality,1.0,245.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
22200.0,100.0,Akaki Kality,1.0,245.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
64400.0,89.0,Akaki Kality,1.0,500.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
56099.0,100.0,Akaki Kality,1.0,500.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
43000.0,100.0,Akaki Kality,1.0,500.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
60400.0,95.0,Akaki Kality,1.0,500.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
56400.0,66.0,Akaki Kality,1.0,500.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
42000.0,100.0,Akaki Kality,1.0,500.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
53963.0,100.0,Akaki Kality,1.0,500.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
56300.0,93.07,Akaki Kality,1.0,500.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
56200.0,63.0,Akaki Kality,1.0,500.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
51999.0,100.0,Akaki Kality,1.0,500.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
56300.0,64.0,Akaki Kality,1.0,500.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
33689.0,100.0,Akaki Kality,1.0,500.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
43680.0,100.0,Akaki Kality,1.0,245.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
43265.3,77.36,Akaki Kality,1.0,245.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
45099.0,43.0,Akaki Kality,1.0,245.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
31199.5,100.0,Akaki Kality,1.0,246.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
27350.0,100.0,Akaki Kality,1.0,246.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
41275.9,46.0,Akaki Kality,1.0,246.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
27512.0,40.0,Akaki Kality,1.0,247.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
12999.9,70.0,Akaki Kality,1.0,247.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
